,date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
0,2015-02-02 14:19:00,23.7,26.272,585.2,749.2,0.0047641630241641395,1
1,2015-02-02 14:19:59,23.718000000000004,26.29,578.4,760.4,0.00477266099212519,1
2,2015-02-02 14:21:00,23.73,26.23,572.666666666667,769.666666666667,0.00476515255246541,1
3,2015-02-02 14:22:00,23.7225,26.125,493.75,774.75,0.00474377335599685,1
4,2015-02-02 14:23:00,23.754,26.2,488.6,779.0,0.00476659399998615,1
5,2015-02-02 14:23:59,23.76,26.26,568.666666666667,790.0,0.00477933243163454,1
6,2015-02-02 14:25:00,23.73,26.29,536.333333333333,798.0,0.004776136332748921,1
7,2015-02-02 14:25:59,23.754,26.29,509.0,797.0,0.00478309370839038,1
8,2015-02-02 14:26:59,23.754,26.35,476.0,803.2,0.0047940939966204105,1
9,2015-02-02 14:28:00,23.736,26.39,510.0,809.0,0.00479618871038935,1
10,2015-02-02 14:29:00,23.745,26.445,481.5,815.25,0.00480888622067716,1
11,2015-02-02 14:30:00,23.7,26.56,481.8,824.0,0.0048167933677358,1
12,2015-02-02 14:31:00,23.7,26.6,475.25,832.0,0.0048241038367487395,1
13,2015-02-02 14:31:59,23.7,26.7,469.0,845.333333333333,0.004842380755335629,1
14,2015-02-02 14:32:59,23.7,26.774,464.0,852.4,0.00485590636128976,1
15,2015-02-02 14:34:00,23.7,26.89,464.0,861.0,0.00487710983719076,1
16,2015-02-02 14:35:00,23.7,26.9725,455.0,880.0,0.004892190768364,1
17,2015-02-02 14:36:00,23.6,26.89,454.0,891.0,0.00484759441396992,1
18,2015-02-02 14:37:00,23.64,26.976,458.0,897.6,0.0048750447811301,1
19,2015-02-02 14:38:00,23.65,27.05,464.0,900.5,0.004891491589296229,1
20,2015-02-02 14:38:59,23.64,27.1,473.0,908.8,0.004897630243458229,1
21,2015-02-02 14:39:59,23.6,27.16,464.0,918.0,0.00489665184522539,1
22,2015-02-02 14:41:00,23.6,27.236,498.4,925.2,0.00491046198855591,1
23,2015-02-02 14:42:00,23.6,27.29,530.2,929.4,0.0049202748285747,1
24,2015-02-02 14:43:00,23.6,27.33,533.6,936.4,0.00492754379701558,1
25,2015-02-02 14:44:00,23.6,27.34,524.25,950.0,0.0049293610654639,1
26,2015-02-02 14:44:59,23.625,27.3925,498.666666666667,961.0,0.00494640574744149,1
